"Date of Download: 2024-05-15_15:38:21"
"Search Parameters: Data Level:all  Trait List:  Trial List:11758  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","dry matter content by specific gravity method|CO_334:0000160","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","6763378","2023108BCCOB_cere_rep1_CG1141-1_30","1","1","30","3","2","check","","33.1664285714286","22.3214285714286","7.5","4","2","8","2","460","2","3","2","4650","450","6","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","6763352","2023108BCCOB_cere_rep1_CG1141-1_4","1","1","4","1","4","check","","35.9925","35.2678571428571","11.85","5","2","8","1","220","3","3","2","4500","500","6","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139257","CG1141-1","","plot","6763362","2023108BCCOB_cere_rep1_CG1141-1_40","1","1","40","3","12","check","","35.51","6.99404761904762","2.35","4","2","8","3","390","3","3","3","2300","250","8","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139268","CM4919-1","","plot","6763377","2023108BCCOB_cere_rep1_CM4919-1_17","1","1","17","2","12","check","","36.8526086956522","37.0535714285714","12.45","5","2","8","2","420","4","3","2","3900","450","8","1","4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139268","CM4919-1","","plot","6763338","2023108BCCOB_cere_rep1_CM4919-1_37","1","1","37","3","9","check","","36.0312133072407","58.7797619047619","19.75","5","1","8","2","250","4","3","1","4600","512","7","1","4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","6763351","2023108BCCOB_cere_rep1_COL2215_18","1","1","18","2","11","check","","39.5598360655737","17.8571428571429","6","5","3","8","3","130","3","3","3","4200","540","8","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","139299","COL2215","","plot","6763386","2023108BCCOB_cere_rep1_COL2215_19","1","1","19","2","10","check","","38.4219298245614","15.922619047619","5.35","5","3","8","3","120","4","3","4","3900","480","8","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","323717","GM3426-5","","plot","6763333","2023108BCCOB_cere_rep1_GM3426-5_3","1","1","3","1","3","check","","","","","3","1","8","2","290","","","","","","3","1",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","323717","GM3426-5","","plot","6763371","2023108BCCOB_cere_rep1_GM3426-5_31","1","1","31","3","3","check","","33.3515113350126","21.7261904761905","7.3","4","2","8","2","200","1","3","3","4400","430","4","1","6"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11758","2023108BCCOB_cere","2023108BCCOB_cere","Augmented","12","5.6","","no","no","2023-July-04","2024-April-23","64","Cerete. Cordoba, Colombia","6153300","SM6536-6","","plot","6763376","2023108BCCOB_cere_rep1_SM6536-6_22","1","1","22","2","7","test","","34.0890617520344","22.6190476190476","7.6","5","2","8","3","180","1","1","2","4650","472","3","1","6"," (Operator: lizbethpino, Time: )"
