"Date of Download: 2024-05-15_15:39:16"
"Search Parameters: Data Level:all  Trait List:  Trial List:12982  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139257","CG1141-1","","plot","8242837","202363BCCOB_stom_rep1_CG1141-1_28","1","1","28","2","1","check","","1","31.2906352683461","30.078125","15.4","4","1","8","1","4","3","1","5000","435","0","6","1","1",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139257","CG1141-1","","plot","8242853","202363BCCOB_stom_rep1_CG1141-1_48","1","1","48","4","9","check","","1","30.9326698922366","48.046875","24.6","4","1","8","1","4","3","1","4970","423","0","5","1","1",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139268","CM4919-1","","plot","8242817","202363BCCOB_stom_rep1_CM4919-1_20","1","1","20","2","9","check","","1","31.1009846827133","42.96875","22","4","1","8","1","4","3","1","5000","430","0","8","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139268","CM4919-1","","plot","8242850","202363BCCOB_stom_rep1_CM4919-1_51","1","1","51","4","6","check","","1","28.9679381888913","44.53125","22.8","4","1","8","1","4","3","1","5000","373","0","8","1","5",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139299","COL2215","","plot","8242861","202363BCCOB_stom_rep1_COL2215_18","1","1","18","2","11","check","","1","30.8361699803365","22.4609375","11.5","4","1","8","3","4","3","1","5000","423","0","8","1","1",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","139299","COL2215","","plot","8242822","202363BCCOB_stom_rep1_COL2215_5","1","1","5","1","5","check","","1","34.467662072486","21.484375","11","4","1","8","2","4","3","1","4370","452","0","8","1","1",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","323717","GM3426-5","","plot","8242825","202363BCCOB_stom_rep1_GM3426-5_47","1","1","47","4","10","check","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","323717","GM3426-5","","plot","8242827","202363BCCOB_stom_rep1_GM3426-5_54","1","1","54","4","3","check","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153300","SM6536-6","","plot","8242818","202363BCCOB_stom_rep1_SM6536-6_31","1","1","31","3","3","test","","","","","","","","8","","","","","","","","0","","",""
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","12982","202363BCCOB_stom","202363BCCOB_stom","Augmented","3.2","3.2","","no","no","2023-July-07","2024-May-03","52","Santo Tomas. Atlantico, Colombia","6153305","SM6537-21","","plot","8242843","202363BCCOB_stom_rep1_SM6537-21_10","1","1","10","1","10","test","","1","21.30013664074","42.1875","21.6","4","2","8","3","4","3","1","4910","153","0","4","1","5",""
